T,Value,Duration_ms,Acceleration
1,93b361724779259e,1133,1
2,93b361724779259e,554,2.04513
3,93b361724779259e,378,2.99735
4,93b361724779259e,285,3.97544
5,93b361724779259e,229,4.9476
6,93b361724779259e,200,5.665
7,93b361724779259e,171,6.62573
8,93b361724779259e,151,7.50331
9,93b361724779259e,155,7.30968
10,93b361724779259e,154,7.35714
11,93b361724779259e,141,8.03546
12,93b361724779259e,133,8.5188
13,93b361724779259e,123,9.21138
14,93b361724779259e,119,9.52101
15,93b361724779259e,114,9.9386
16,93b361724779259e,110,10.3
